name,type,actor_class,city,country,lat,lon,focus_areas,founded_year,description,website,email,source
Manizales Cómo Vamos,Observatory,institution,Manizales,Colombia,5.0703,-75.5138,Governance;Climate,2007,Andean city observatory with emphasis on seismic and climate resilience in a mountainous urban context.,https://manizalescomovamos.org,contacto@manizalescomovamos.org,redcomovamos.org
Quito Cómo Vamos,Observatory,institution,Quito,Ecuador,-0.1807,-78.4678,Governance;Mobility,2013,Ecuador's branch of the Cómo Vamos citizen-monitoring network measuring urban quality of life.,https://quitocomovamos.org,info@quitocomovamos.org,redcomovamos.org
La Paz Cómo Vamos,Observatory,institution,La Paz,Bolivia,-16.5,-68.15,Governance;Public Space,2009,Bolivian citizen observatory monitoring municipal quality of life and local-government performance.,https://lapazcomovamos.org,contacto@lapazcomovamos.org,lapazcomovamos.org
Red Cómo Vamos,Network,institution,Bogotá,Colombia,4.711,-74.0721,Governance;Housing;Mobility,2009,Regional network of 15+ citizen observatories monitoring quality of life across Latin American cities.,https://redcomovamos.org,red@redcomovamos.org,redcomovamos.org
Lugares Públicos,Collective,civil_society,Mexico City,Mexico,19.4326,-99.1332,Public Space,2013,Mexico City placemaking collective; co-organises regional Placemaking Latinoamérica conferences.,https://lugarespublicos.org,hola@lugarespublicos.org,placemakingx.org
Placemaking Brasil,Network,institution,São Paulo,Brazil,-23.5505,-46.6333,Public Space,2015,Pioneering place-led development network active in São Paulo and Brasília; links civic and private-sector actors.,https://www.placemaking.org.br,contato@placemaking.org.br,placemakingx.org
Placemaking Latinoamérica,Network,institution,Valparaíso,Chile,-33.0472,-71.6127,Public Space,2013,Regional conference network convening placemakers across Latin America to share practice and vision.,https://placemakinglatinoamerica.org,hola@placemakinglatinoamerica.org,placemakingx.org
Espacio Lúdico,Collective,civil_society,Santiago,Chile,-33.4489,-70.6693,Public Space,2010,Chilean placemaking collective that convened the first Placemaking Latinoamérica gathering.,https://espacioludico.org,hola@espacioludico.org,placemakingx.org
Mobilab,Program,institution,São Paulo,Brazil,-23.5505,-46.6333,Mobility;Governance,2015,São Paulo mobility innovation lab operating inside the municipal government to prototype citizen-centred transport solutions.,https://mobilab.prefeitura.sp.gov.br,mobilab@prefeitura.sp.gov.br,americasquarterly.org
Laboratorio para la Ciudad,Program,institution,Mexico City,Mexico,19.4326,-99.1332,Governance;Public Space,2013,First city-innovation lab in the Americas; inspired a continent-wide civic-lab movement.,https://labcd.mx,contacto@labcd.mx,labcd.mx
Instituto Pólis,NGO,civil_society,São Paulo,Brazil,-23.5505,-46.6333,Housing;Governance,1987,Research and advocacy NGO working on the right to the city and urban policy; one of Brazil's oldest urban-policy organisations.,https://polis.org.br,polis@polis.org.br,polis.org.br
IPPUC,Public,institution,Curitiba,Brazil,-25.4284,-49.2733,Mobility;Governance;Climate,1965,Institute of Urban Research and Planning of Curitiba — foundational reference on bus rapid transit and integrated city planning.,https://ippuc.org.br,ippuc@ippuc.org.br,ippuc.org.br
Ciudad Viva,NGO,civil_society,Santiago,Chile,-33.4489,-70.6693,Governance;Mobility,2000,Citizen-led planning institution born from Santiago's anti-highway movement; prize-winning work on participatory planning.,https://www.ciudadviva.cl,contacto@ciudadviva.cl,archdaily.com
ACIJ,NGO,civil_society,Buenos Aires,Argentina,-34.6037,-58.3816,Governance;Housing,2002,"Asociación Civil por la Igualdad y la Justicia — litigation, research and advocacy for the right to the city.",https://acij.org.ar,info@acij.org.ar,acij.org.ar
Corporación Ciudad Accesible,NGO,civil_society,Santiago,Chile,-33.4489,-70.6693,Public Space;Mobility,2001,Accessibility advocacy for Chilean public space and transport; influences national accessibility standards.,https://www.ciudadaccesible.cl,info@ciudadaccesible.cl,ciudadaccesible.cl
Minha Sampa,Collective,civil_society,São Paulo,Brazil,-23.5505,-46.6333,Governance;Public Space,2012,Citizen mobilisation platform for São Paulo urban policy; runs campaigns and legislative pressure.,https://www.minhasampa.org.br,contato@minhasampa.org.br,minhasampa.org.br
IMPLAN Guadalajara,Public,institution,Guadalajara,Mexico,20.6597,-103.3496,Governance;Mobility,2016,Metropolitan Planning Institute for Greater Guadalajara — technical body coordinating nine municipalities.,https://www.implanguadalajara.org.mx,contacto@implanguadalajara.org.mx,implanguadalajara.gob.mx
LATINNO,Network,institution,São Paulo,Brazil,-23.5505,-46.6333,Governance,2015,Open database and network documenting democratic innovations in Latin America; 3500+ cases catalogued.,https://latinno.net,info@latinno.net,latinno.net
Fundación Avina,Foundation,institution,Panama City,Panama,8.9824,-79.5199,Governance;Climate,1994,Latin American foundation funding civic innovation and democratic experiments across the region; long-standing Ocupa tu Calle and Nodal partner.,https://www.avina.net,info@avina.net,avina.net
Claudia López Hernández,Politician,politician,Bogotá,Colombia,4.711,-74.0721,Mobility;Climate;Governance,2020,"Former mayor of Bogotá (2020–2023); advanced the city's first metro line, mobility electrification and gender-equity urban policy.",,,public-record
Enrique Peñalosa Londoño,Politician,politician,Bogotá,Colombia,4.711,-74.0721,Mobility;Public Space;Governance,1998,"Two-term mayor of Bogotá; architect of TransMilenio BRT and an international reference on bus-rapid-transit and pedestrian-first cities.",,,public-record
Jorge Muñoz Wells,Politician,politician,Lima,Peru,-12.0464,-77.0428,Mobility;Public Space;Governance,2019,"Former mayor of Lima (2019–2022); led recovery of public space, cycling infrastructure and the city's mobility master plan.",,,public-record
Mariana Alegre Escorza,Entrepreneur,entrepreneur,Lima,Peru,-12.0464,-77.0428,Governance;Public Space;Climate;Housing;Mobility,2010,"Urbanist and social entrepreneur; founder of Lima Cómo Vamos, Ocupa tu Calle and Sistema Urbano. HGSD Loeb Fellow. Leads the Nodal community.",https://sistemaurbano.org,mariana@sistemaurbano.org,sistemaurbano.org
Gabriella Gómez-Mont,Entrepreneur,entrepreneur,Mexico City,Mexico,19.4326,-99.1332,Governance;Public Space;Climate,2013,"Founder of Laboratorio para la Ciudad (CDMX) and Experimentalista; works with cities worldwide on civic imagination and city innovation.",https://www.experimentalista.com,hello@experimentalista.com,experimentalista.com
Jorge Pérez-Jaramillo,Entrepreneur,entrepreneur,Medellín,Colombia,6.2442,-75.5812,Governance;Public Space;Housing,2012,"Architect-urbanist, ex-Planning Director of Medellín; international consultant on social urbanism and territorial strategy.",https://www.perez-jaramillo.com,contacto@perez-jaramillo.com,harvard.edu
Tembici,Company,company,São Paulo,Brazil,-23.5505,-46.6333,Mobility;Climate,2011,"Latin America's largest bike-share operator; runs Bike Sampa, Bike Rio, Bike Itaú and micro-mobility networks in 10+ cities.",https://www.tembici.com.br,contato@tembici.com.br,tembici.com.br
Rappi,Company,company,Bogotá,Colombia,4.711,-74.0721,Mobility;Governance,2015,"Colombian-born super-app; its courier and micro-mobility network has reshaped last-mile urban logistics across 9 countries.",https://www.rappi.com,prensa@rappi.com,rappi.com
Grupo IDOM Latam,Company,company,Mexico City,Mexico,19.4326,-99.1332,Mobility;Public Space;Climate;Governance,1957,"International engineering and consultancy firm with a strong LatAm urban and transport practice; partners with IDB and city governments.",https://www.idom.com,mexico@idom.com,idom.com
Estudio Lofft,Company,company,Buenos Aires,Argentina,-34.6037,-58.3816,Public Space;Housing,2014,"Buenos Aires-based urban design and placemaking studio; projects across housing, public space and tactical urbanism in LatAm.",https://www.estudiolofft.com,hola@estudiolofft.com,estudiolofft.com
Julio Castillo,Professor,professor,Bogotá,Colombia,4.711,-74.0721,Governance;Climate,2015,Urban researcher focusing on civic infrastructure and public space at the National University.,https://example.com/julio,julio@example.com,nodal.org
María Luisa Fernandez,Professor,professor,São Paulo,Brazil,-23.5505,-46.6333,Mobility;Public Space,2018,Professor of Urban Planning at USP; researcher of micro-mobility and citizen transport.,https://example.com/fernandez,maria.fernandez@usp.br,nodal.org
